Date,Solar_Generation_kWh,Electricity_Consumed_kWh,Electricity_Exported_kWh,Maximum_Temperature_C,Minimum_Temperature_C,Humidity,Cloud_Cover,Rainfall_mm,Peak_Power_kW,Electricity_Tariff
6/24/2025,27,20.24,18.9,37.1,27.5,89,10,1.9,5.85,5.55
6/25/2025,20.26,31.29,7.74,34.3,18.6,46,38,18.9,5.37,9.23
6/26/2025,29.64,17.28,22.73,28.5,26.4,95,47,17.8,1.72,8.86
6/27/2025,29.8,13.44,24.42,25.9,22.3,80,70,10.4,3.34,8.9
6/28/2025,15.49,26.72,4.8,33,25.2,66,27,13.6,2.27,8.21
6/29/2025,31.76,12.09,26.92,24.8,21.1,36,39,8,5.59,7.78
6/30/2025,20.59,32.25,7.69,31.7,27.1,40,59,14.3,3.55,8.49
7/1/2025,26.15,16.49,19.55,26.6,26.5,57,74,20.1,2.59,6.22
7/2/2025,32.88,38.29,17.56,24.5,27,66,85,15.1,4.3,9.29
7/3/2025,18.74,27.17,7.87,38.9,24,81,53,8.8,5.7,9.23
7/4/2025,11.21,35.12,0,29.4,22.9,85,83,17.9,2.77,9.27
7/5/2025,20.23,35.53,6.02,24.4,24.5,94,23,2.5,4.56,6.65
7/6/2025,34.17,24.29,24.45,36.5,21,62,61,13,4.58,5.82
7/7/2025,10.54,32.37,0,25.6,24.6,46,98,9.2,4.29,8.78
7/8/2025,16.8,21.83,8.07,30.5,12.5,63,16,11.9,1.57,8.26
7/9/2025,21.45,12.85,16.31,28.3,22,75,37,7.6,5.52,7.11
7/10/2025,30.83,16.27,24.32,27.3,14,62,76,1.9,2.42,8.1
7/11/2025,18.4,24.32,8.67,37.5,14.8,49,29,7.6,3.92,5.92
7/12/2025,24.91,26.88,14.16,39.6,24.6,95,2,19,1.76,7.08
7/13/2025,25.31,22.15,16.45,28.2,17.6,90,0,3.6,5.71,7.8
7/14/2025,23.91,16.63,17.26,36.9,18.2,51,9,23.4,4.03,6.09
7/15/2025,18.2,28.42,6.83,24.1,24,67,60,22.9,5.16,8.42
7/16/2025,30.83,13.13,25.58,32.5,20.8,84,14,0.8,4.47,8.4
7/17/2025,23.55,10.41,19.39,24.2,12.6,37,100,7.8,2.56,9.34
7/18/2025,33.79,37.6,18.75,30,24.7,51,80,6.6,4.62,5.7
7/19/2025,16.32,14.66,10.46,39.8,24.4,75,14,3.2,2.61,7.75
